,Intensity,Air Wavelength (Ã…),Spectrum,Reference
2,70,2864.73,Xe II,H39
3,50,2895.22,Xe II,H39
4,130,2979.32,Xe II,H39
5,30,3017.43,Xe II,H39
6,100,3121.87,Xe II,H39
7,70,3366.72,Xe II,H39
8,30,3461.26,Xe II,H39
9,1,3506.74,Xe I,HM33
10,1,3549.86,Xe I,HM33
11,1,3554.04,Xe I,HM33
12,2,3610.32,Xe I,HM33
13,1,3613.06,Xe I,HM33
14,1,3633.06,Xe I,HM33
15,1,3669.91,Xe I,HM33
16,4,3685.9,Xe I,HM33
17,4,3693.49,Xe I,HM33
18,30,3907.91,Xe II,H39
19,30,4037.59,Xe II,H39
20,70,4057.46,Xe II,H39
21,30,4098.89,Xe II,H39
22,70,4158.04,Xe II,H39
23,300,4180.1,Xe II,H39
24,150,4193.15,Xe II,H39
25,100,4208.48,Xe II,H39
26,30,4209.47,Xe II,H39
27,100,4213.72,Xe II,H39
28,30,4215.6,Xe II,H39
29,100,4223.0,Xe II,H39
30,130,4238.25,Xe II,H39
31,150,4245.38,Xe II,H39
32,30,4251.57,Xe II,H39
33,150,4296.4,Xe II,H39
34,150,4310.51,Xe II,H39
35,300,4330.52,Xe II,H39
36,70,4369.2,Xe II,H39
37,30,4373.78,Xe II,H39
38,150,4393.2,Xe II,H39
39,150,4395.77,Xe II,H39
40,70,4406.88,Xe II,H39
41,50,4416.07,Xe II,H39
42,150,4448.13,Xe II,H39
43,300,4462.19,Xe II,H39
44,150,4480.86,Xe II,H39
45,30,4521.86,Xe II,H39
46,60,4734.152,Xe I,HM33
47,15,4792.619,Xe I,HM33
48,50,4807.02,Xe I,HM33
49,40,4829.71,Xe I,HM33
50,30,4843.29,Xe I,HM33
51,700,4844.33,Xe II,HP87
52,50,4916.51,Xe I,HM33
53,50,4923.152,Xe I,HM33
54,70,4971.71,Xe II,H39
55,130,4972.71,Xe II,H39
56,100,4988.77,Xe II,H39
57,30,4991.17,Xe II,H39
58,20,5028.28,Xe I,HM33
59,70,5044.92,Xe II,H39
60,300,5080.62,Xe II,H39
61,100,5122.42,Xe II,H39
62,30,5125.7,Xe II,H39
63,30,5178.82,Xe II,H39
64,100,5188.04,Xe II,H39
65,130,5191.37,Xe II,H39
66,30,5192.1,Xe II,H39
67,150,5260.44,Xe II,H39
68,150,5261.95,Xe II,H39
69,700,5292.22,Xe II,H39
70,100,5309.27,Xe II,H39
71,300,5313.87,Xe II,H39
72,700,5339.33,Xe II,H39
73,70,5363.2,Xe II,H39
74,70,5368.07,Xe II,H39
75,150,5372.39,Xe II,H39
76,10,5392.8,Xe I,HM33
77,1000,5419.15,Xe II,H39
78,250,5438.96,Xe II,H39
79,100,5445.45,Xe II,H39
80,70,5450.45,Xe II,H39
81,130,5460.39,Xe II,H39
82,300,5472.61,Xe II,H39
83,30,5494.86,Xe II,H39
84,70,5525.53,Xe II,H39
85,200,5531.07,Xe II,H39
86,10,5566.62,Xe I,HM33
87,100,5616.67,Xe II,H39
88,100,5659.38,Xe II,H39
89,200,5667.56,Xe II,H39
90,50,5670.91,Xe II,H39
91,10,5695.75,Xe I,HM33
92,70,5699.61,Xe II,H39
93,70,5716.1,Xe II,H39
94,150,5726.91,Xe II,H39
95,150,5751.03,Xe II,H39
96,100,5758.65,Xe II,H39
97,100,5776.39,Xe II,H39
98,30,5815.96,Xe II,H39
99,30,5823.89,Xe I,HM33
100,15,5824.8,Xe I,HM33
101,10,5875.02,Xe I,HM33
102,100,5893.29,Xe II,H39
103,10,5894.99,Xe I,HM33
104,70,5905.13,Xe II,H39
105,10,5934.17,Xe I,HM33
106,150,5945.53,Xe II,H39
107,100,5971.13,Xe II,H39
108,700,5976.46,Xe II,H39
109,70,6008.92,Xe II,H39
110,300,6036.2,Xe II,H39
111,700,6051.15,Xe II,H39
112,200,6093.5,Xe II,H39
113,500,6097.59,Xe II,H39
114,130,6101.43,Xe II,H39
115,30,6115.08,Xe II,H39
116,30,6146.45,Xe II,H39
117,15,6178.3,Xe I,HM33
118,12,6179.66,Xe I,HM33
119,30,6182.42,Xe I,HM33
120,150,6194.07,Xe II,H39
121,10,6198.26,Xe I,HM33
122,150,6270.82,Xe II,H39
123,130,6277.54,Xe II,H39
124,30,6284.41,Xe II,H39
125,10,6286.01,Xe I,HM33
126,80,6300.86,Xe II,H39
127,50,6318.06,Xe I,HM33
128,130,6343.96,Xe II,H39
129,200,6356.35,Xe II,H39
130,70,6375.28,Xe II,H39
131,30,6397.99,Xe II,H39
132,30,6469.7,Xe I,HM33
133,15,6472.84,Xe I,HM33
134,12,6487.76,Xe I,HM33
135,10,6498.72,Xe I,HM33
136,20,6504.18,Xe I,HM33
137,100,6512.83,Xe II,H39
138,70,6528.65,Xe II,H39
139,10,6533.16,Xe I,HM33
140,300,6595.01,Xe II,H39
141,10,6595.56,Xe I,HM33
142,130,6597.25,Xe II,H39
143,30,6598.84,Xe II,H39
144,15,6668.92,Xe I,HM33
145,100,6694.32,Xe II,H39
146,20,6728.01,Xe I,HM33
147,50,6788.71,Xe II,H39
148,30,6790.37,Xe II,H39
149,300,6805.74,Xe II,H39
150,20,6827.32,Xe I,HM33
151,10,6872.11,Xe I,HM33
152,30,6882.16,Xe I,HM33
153,25,6910.22,Xe II,H39
154,10,6925.53,Xe I,HM33
155,250,6942.11,Xe II,H39
156,10,6976.18,Xe I,HM33
157,700,6990.88,Xe II,H39
158,50,7082.15,Xe II,H39
159,50,7119.6,Xe I,HM33
160,15,7147.5,Xe II,H39
161,70,7149.03,Xe II,H39
162,150,7164.83,Xe II,H39
163,30,7284.34,Xe II,H39
164,70,7301.8,Xe II,H39
165,70,7339.3,Xe II,H39
166,10,7386.0,Xe I,HM33
167,15,7393.79,Xe I,HM33
168,100,7548.45,Xe II,H39
169,20,7584.68,Xe I,HM33
170,25,7618.57,Xe II,H39
171,50,7642.02,Xe I,HM33
172,10,7643.91,Xe I,HM33
173,70,7670.66,Xe II,H39
174,20,7787.04,Xe II,H39
175,10,7802.65,Xe I,HM33
176,10,7881.32,Xe I,HM33
177,30,7887.4,Xe I,HM33
178,50,7967.34,Xe I,HM33
179,10,8029.67,Xe I,HM33
180,20,8057.26,Xe I,HM33
181,15,8061.34,Xe I,HM33
182,10,8101.98,Xe I,HM33
183,50,8151.8,Xe II,H39
184,10,8171.02,Xe I,HM33
185,70,8206.34,Xe I,HM33
186,1000,8231.635,Xe I,HP70b
187,50,8266.52,Xe I,HM33
188,700,8280.117,Xe I,HP70b
189,200,8346.823,Xe I,HP70b
190,30,8347.24,Xe II,H39
191,200,8409.191,Xe I,HP70b
192,15,8515.19,Xe II,H39
193,20,8576.01,Xe I,HM33
194,15,8604.23,Xe II,H39
195,25,8648.54,Xe I,HM33
196,10,8692.2,Xe I,HM33
197,20,8696.86,Xe I,HM33
198,15,8716.19,Xe II,H39
199,30,8739.39,Xe I,HM33
200,10,8758.2,Xe I,HM33
201,500,8819.411,Xe I,HP70b
202,30,8862.32,Xe I,HM33
203,20,8908.73,Xe I,HM33
204,20,8930.83,Xe I,HM33
205,100,8952.252,Xe I,HP70b
206,10,8981.05,Xe I,HM33
207,20,8987.57,Xe I,HM33
208,40,9045.45,Xe I,HM33
209,50,9162.65,Xe I,HM33
210,10,9167.52,Xe I,HM33
211,10,9374.76,Xe I,HM33
212,20,9513.38,Xe I,HM33
213,15,9591.35,Xe II,H39
214,15,9685.32,Xe I,HM33
215,15,9698.68,Xe II,H39
216,10,9718.16,Xe I,HM33
217,200,9799.7,Xe I,HP70b
218,300,9923.19,Xe I,HP70b
219,10,10838.37,Xe I,HM33
220,9,11742.01,Xe I,H73
221,40,12235.24,Xe I,H73
222,10,12257.76,Xe I,H73
223,30,12590.2,Xe I,H73
224,250,12623.399,Xe I,HP70b
225,25,13544.15,Xe I,H73
226,200,13657.06,Xe I,H73
227,120,14142.44,Xe I,H73
228,80,14240.96,Xe I,H73
229,40,14364.99,Xe I,H73
230,14,14660.81,Xe I,H73
231,300,14732.816,Xe I,HP70b
232,10,15099.72,Xe I,H73
233,250,15418.39,Xe I,H73
234,15,15557.13,Xe I,H73
235,25,15979.54,Xe I,H73
236,10,16039.9,Xe I,H73
237,100,16053.28,Xe I,H73
238,12,16554.49,Xe I,H73
239,150,16728.15,Xe I,H73
240,150,17325.77,Xe I,H73
241,40,18788.13,Xe I,H73
242,15,20187.19,Xe I,H73
243,300,20262.24,Xe I,H73
244,25,21470.09,Xe I,H73
245,120,23193.33,Xe I,H73
246,11,23279.54,Xe I,H73
247,200,24824.71,Xe I,H73
248,20,25145.84,Xe I,H73
249,200,26269.08,Xe I,H73
250,250,26510.86,Xe I,H73
251,25,28381.54,Xe I,H73
252,80,28582.25,Xe I,H73
253,30,29384.41,Xe I,H73
254,15,29448.06,Xe I,H73
255,10,29649.58,Xe I,H73
256,10,29813.62,Xe I,H73
257,60,30253.14,Xe I,H73
258,150,30475.46,Xe I,H73
259,10,30504.12,Xe I,H73
260,50,30794.18,Xe I,H73
261,600,31069.23,Xe I,HP70b
262,12,31336.01,Xe I,H73
263,60,31607.91,Xe I,H73
264,10,32293.08,Xe I,H73
265,200,32739.26,Xe I,H73
266,400,33666.69,Xe I,H73
267,15,34014.67,Xe I,H73
268,40,34335.27,Xe I,H73
269,15,34744.0,Xe I,H73
270,500,35070.26,Xe I,HP70b
271,11,35246.92,Xe I,H73
272,25,36209.21,Xe I,H73
273,15,36231.74,Xe I,H73
274,40,36508.36,Xe I,H73
275,80,36788.83,Xe I,H73
276,14,38685.98,Xe I,H73
277,20,38737.82,Xe I,H73
278,25,38939.6,Xe I,H73
279,12,39955.14,Xe I,H73
